MANDT;ID;NAME;FORM;STREET;POSTBOX;POSTCODE;CITY;COUNTRY;REGION;TELEPHONE;CUSTTYPE;DISCOUNT;LANGU;EMAIL;WEBUSER
000;00000001;SAP AG;;;;69190;Walldorf;;;;B;010;;;
000;00000002;ANDREAS LOTZ;;;;69190;Walldorf;;;;P;020;;;
000;00000003;HANS TILLINGER;;;;691119;Heidelberg;;;;P;000;;;
000;00000004;BINDEWALD;;;;69115;Heidelberg;;;;P;000;;;
000;00000005;MARTIN;;;;L07 1AZ;Liverpool;;;;P;000;;;
000;00000006;STARR;;;;L07 3BC;LIVERPOOL;;;;P;000;;;
000;00000007;KING;;;;M21 7AB;Manchester;;;;P;000;;;
000;00000008;MOORE;;;;SW3 4DE;LONDON;;;;P;000;;;
000;00000009;EVERTON FC;;;;L08 5RZ;LIVERPOOL;;;;B;000;;;
000;00000010;RAUPP;;;;8002;ZÜRICH;;;;P;000;;;
000;00000011;BALLMANN;;;;69115;HEIDELBERG;;;;P;000;;;
000;00000012;RADETZKY;;;;1000;WIEN;;;;P;000;;;
000;00000013;MÜLLER;;;;68159;MANNHEIM;;;;P;000;;;
000;00000014;GENEE;;;;50733;KÖLN;;;;P;000;;;
000;00000015;SÖHNEN;;;;01099;DRESDEN;;;;P;000;;;
000;00000016;LEININGER BRAUEREI;;;;80339;MÜNCHEN;;;;B;005;;;
000;00000017;RUTHENBERG;;;;69118;HEIDELBERG;;;;P;000;;;
000;00000018;MÜLLER;;;;46539;DINSLAKEN;;;;P;000;;;
000;00000019;BECKER;;;;69493;GROßSACHSEN;;;;P;000;;;
000;00000020;BECKER;;;;69181;LEIMEN;;;;P;000;;;
000;00000021;SAP ÖSTERREICH;;;;1221;WIEN;;;;B;010;;;
000;00000022;SAP (SCHWEIZ) AG;;;;2500;BIEL;;;;B;010;;;
000;00000023;SAP AMERICA INC.;;;;PA 19113;PHILADELPHIA;;;;B;015;;;
000;00000024;SAP ASIA;;;;10500;BANGKOK;;;;B;005;;;
000;00000025;SAP AUSTRALIA PTY.LTD.;;;;NSW 2067;CHATSWOOD;;;;;000;;;
000;00000026;SAP BELGIUM SA;;;;1150;BRUSSELS;;;;B;005;;;
000;00000027;SAP CANADA INC.;;;;M2P 2B8;NORTH YORK ONTARIO;;;;B;005;;;
000;00000028;SAP DANMARK A/S;;;;2605;BRÖNBY/COPENHAGEN;;;;B;005;;;
000;00000029;SAP FRANCE SA;;;;94132;FONTENAY-SOUS-BOIS;;;;B;010;;;
000;00000030;SAP ITALY SPA;;;;20041;AGRATE BRIANZA/MILANO;;;;B;010;;;
000;00000031;SAP NEDERLAND B.V.;;;;5232;AG'S HERTOGENBOSCH;;;;B;005;;;
000;00000032;SAP ESPANA Y PORTUGAL S.A;;;;28020;MADRID;;;;B;010;;;
000;00000033;ZIELCKE;;;;69120;HEIDELBERG;;;;P;000;;;
000;00000034;MODLER;;;;68222;MANNHEIM;;;;P;000;;;
000;00000035;BRUCHER;;;;69133;HEIDELBERG;;;;P;000;;;
000;00000036;STERK;;;;10997;BERLIN;;;;P;000;;;
000;00000037;DAMPF;;;;10883;BERLIN;;;;P;000;;;
000;00000038;RANK;;;;10452;BERLIN;;;;P;000;;;
000;00000039;Forks Manufacturing GmbH;;;;27563;Hamburg;;;;B;005;;;
000;00000040;Electronic Components Dis;;;;94404;Foster City;;;;B;009;;;
000;00000041;Wald & Maier;;;;66386;St. Ingbert;;;06894/55501-0;B;000;;;
000;00000042;Mueller;;;;12345;Berlin;;;;B;003;;;
000;00000043;Stolz;;;;12345;Bremerhaven;;;;B;002;;;
000;00000044;KBB Schwarze Pumpe;;;;67210;Frankenthal/Pfalz;;;;B;015;;;
000;00000045;SMP GmbH;;;;40849;Düsseldorf;;;;B;010;;;
